ticker,fyear,current_ratio,quick_ratio,cash_ratio,receivables_turnover,inventory_turnover,payables_turnover,total_asset_turnover,fixed_asset_turnover,days_sales_outstanding,days_inventory_outstanding,debt_ratio,debt_to_equity,equity_multiplier,times_interest_earned,gross_margin,operating_margin,net_margin,roa
LMT,2023,1.3212689620444389,,0.16031975829294393,,19.10792552315044,40.02968588194684,1.2923770878914345,8.610839969175442,,19.102021282099923,0.8247730711043872,4.7068853874379455,5.7068853874379455,16.033391915641477,0.13515005071296463,0.1360748165383927,0.09419187399319849,0.12173141981436682
LMT,2024,1.2116077227372026,,0.08513904469504635,,18.55209003215434,26.05418830435764,1.2528290423027264,8.073906393392475,,19.67433315423679,0.8697003202684155,4.162879824801533,4.786568117528971,,0.12559105237633367,0.12651551891367604,0.08686954413191077,0.1088326877800562
RTX,2015,1.3411288604898828,,0.19625133120340787,,,,0.6205732079029889,6.587523277467412,,,0.6414270990943578,1.8742831512510814,2.922051709223721,,,0.15104240282685513,0.10107773851590106,0.06272613643839221
RTX,2016,1.1807410027411795,,0.23118754973914582,,,,0.6480496950025183,6.6843685061186795,,,0.6688994559005075,2.1389721470867755,3.1977483734191097,10.888762769580023,,0.16568221070811745,0.107426597582038,0.069617773798198
RTX,2017,1.3032959006664842,,0.3229708755592075,,,,0.6412372548123085,6.2714365567356065,,,0.688594485848841,2.1843069001776714,3.17212371732115,8.848300970873787,,0.12996898285143854,0.13561980819280545,0.0869644735037264
RTX,2018,1.347136238776598,,0.29342790373498423,,,,0.6461312715164512,5.91852770885029,,,0.7286915033554054,2.207632556568727,3.029584599797366,7.9124157844080845,,0.14361330445112153,0.0883061980294878,0.0570573960155765
RTX,2019,1.1318222392246875,,0.2864384085692425,,,,0.6412504152690408,5.322866165547302,,,0.9646306231943871,2.4317744368724963,2.5209384591374917,8.952695269526952,,0.13600280762738773,0.07607333255343683,0.048782056090791205
RTX,2020,1.3215650083701764,0.266901317766236,0.07925913207709147,3.96900377444813,,,0.2934111230896062,3.0683054069587516,91.96262355551713,,0.682512624001719,2.2810599894671326,3.3421506200028728,2.7877906976744184,,0.08290827353678569,0.15184000461081812,0.04455154628279113
RTX,2021,1.2099977683552778,0.39586587815219815,0.1377203749163133,5.039617714063455,,,0.3005553935473609,3.587169751621579,72.42612847030806,,0.5443562561284713,1.223189168964705,2.2470379557390907,3.0886235072281583,,0.10835961101678096,0.12209751041919337,0.03669706529519366
RTX,2022,1.1862111766199328,0.5208327456345736,0.24830037518688822,5.9832936822627545,,,0.3497807186987146,3.7807843923297924,61.00318977857105,,0.5371923868057793,1.1866343679859856,2.208956040948158,-1.382869692532943,,-0.033382225599519325,-0.06218742820789227,-0.021751963332581278
RTX,2023,1.0851101907245488,0.43309301017538476,0.2002352098992688,6.8611007512387445,,,0.40208825108971236,4.272311060978037,53.198460893334165,,0.5328457045019639,1.1654642581782135,2.1872452913316445,3.8850226928895615,,0.07976641610237932,0.06001118220786482,0.02412979129978643
RTX,2024,1.0354141271572463,0.3647911721306217,0.13301683026453667,6.725559009325178,,,0.4182544359326917,4.3388317484960215,54.270581745534784,,0.620402918409331,1.6793872704772734,2.7069299976587846,4.313479623824452,,0.08205862182067568,0.07748158750037272,0.032407017675137886
SPR,2015,2.4246107403876707,0.8311884334286622,0.35009532888465206,2.854194187582563,3.456645750142613,9.914103403141361,0.3348054312665853,0.9691074231890558,127.88197859415678,105.59369584949252,,,3.183903792784459,,-2.505640728955742,0.11246745733294765,0.08886317616430431,0.029751874019408448
SPR,2016,2.262291709524789,0.6567235822533086,0.28848659397929094,11.901277787502188,3.2380790383852127,9.290710915893932,1.2444542060180102,3.8120654855348732,30.668975761854334,112.72115216249344,,,2.7197452229299364,,0.16004824096952583,0.05206494881750794,0.05277091422520296,0.06567098616296947
SPR,2017,1.8847299572594223,0.6724517549540215,0.244722186245305,11.096283924843425,3.3634069975985654,9.236664162283997,1.1896290858304162,3.558310794526417,32.89389515194389,108.52091354409558,,,2.803090805372608,,0.16731136832282245,0.12989358659823297,0.11871039600234802,0.14122133987483998
SPR,2018,1.6354719309068477,0.8759407772979643,0.43041332510795804,9.825558689520504,3.912248752192095,9.11423632935261,1.2729129579312284,3.4461608705577964,37.1480148390231,93.29672603141218,,,2.924930594114381,,0.14612315800320924,0.10684685480428094,0.06914572568417024,0.08801649020893844
SPR,2019,1.8009607483724164,0.7855382087099425,0.4409961443650844,11.020279334017202,5.031715736040609,7.764993419815755,1.2750029670339702,3.408918938709756,33.12075755405986,72.53986893290075,,,4.594295410471881,,0.112802520406702,0.07617070027208936,0.050823428325934415,0.06480002191040471
SPR,2020,2.6370193672970976,0.5507468620435054,0.24041574373828592,13.23316536875859,5.757624096837759,6.258248763322964,1.0866768483061113,3.3803739848814622,27.58221406812517,63.39420459916231,,,4.318156012262973,,0.15038770423705344,0.11675436167266685,0.08543339795070617,0.09283849562515517
